Heading,Query,ID
"Loan Mater 'Yes' , Co Applicant 'No' - Year wise","-- Loans in 2025 without co-applicants
SELECT lm.*
FROM AML_LMS.TBL_LOAN_MASTER lm
WHERE lm.loan_date >= DATE '2026-01-01' 
  AND lm.loan_date < DATE '2027-01-01'
  --and lm.loan_status in(1,2,3)
  AND NOT EXISTS (
    -- Check if this customer has co-applicants
    SELECT 1
    FROM AML_CUSTOMER.TBL_TMP_CUSTOMER tc
    INNER JOIN AML_CUSTOMER.TBL_CO_APPLICANTS ca 
      ON tc.temp_cust_id = ca.temp_cust_id
    WHERE tc.cust_id = lm.customer_id
      AND ca.relationship <> 0
  );",1783763387129
"Loan Master 'Yes', House hold 'No' - Year wise","-- Query to find application_ids in loan master that don't have corresponding entries in household details
SELECT 
    lm.loan_id,
    lm.application_id,
    lm.customer_id,
    lm.loan_date
FROM 
    AML_LMS.TBL_LOAN_MASTER lm
WHERE 
    EXTRACT(YEAR FROM lm.loan_date) = 2026
    AND NOT EXISTS (
        SELECT 1 
        FROM AML_CUSTOMER.TBL_HOUSEHOLD_DETAILS hd
        WHERE hd.application_id = lm.application_id
    );",1783760929937
"Data Mismatch Checking- House Hold","select count(*) from tbl_temp_04_2024 t; --109566

select count(*)
  from aml_lms.tbl_loan_master t
 where trunc(t.loan_date) between '01-apr-2024' and '30-apr-2024'
   and t.loan_status in (0, 1, 2, 4)
   and t.loan_id like '%UNSL%'; --109566

select a.temp_cust_id, a.cust_id
  from tbl_temp_02_2025                   t,
       aml_customer.tbl_tmp_customer      a,
       aml_customer.tbl_household_details b
 where t.clientid = a.cust_id
   and a.temp_cust_id = b.cust_id
   and t.application_id = b.application_id;

select *
  from AML_CUSTOMER.TBL_HOUSEHOLD_DETAILS t
 where t.cust_id = 7202676;

select *
  from AML_CUSTOMER.TBL_TMP_CUSTOMER t
 where t.temp_cust_id = 7202676;
 
 select *
  from AML_CUSTOMER.TBL_TMP_CUSTOMER t
 where t.cust_id = 31866006004;

select *
  from AML_LMS.TBL_LOAN_MASTER t
 where t.customer_id = 31866006004;",1783593787991
"NPA Report Checking","select t.state_id stateId, t.state_name stateName
  from aml_lms.tbl_npa_lrn_dtl t
 where t.status_id = 1
   and t.ason_date between '06-jun-2026' and '06-jun-2026'
 group by t.state_id, t.state_name; --State

select cast(-1 as number(5)) branchID, 'ALL' branchName
  from dual
union all
select distinct cast(t.branch_id as number(5)) branchID,
                t.branch_name branchName
  from aml_lms.TBL_NPA_LRN_DTL t
 where t.state_id = 19
   and t.status_id = 1
   and t.ason_date between '06-jun-2026' and '06-jun-2026'; -- Branch

select '- 1' centerId, 'ALL' centerName
  from dual
union all
select a.center_id centerId, a.center_name centerName
  from aml_lms.tbl_npa_lrn_dtl a, aml_lms.tbl_loan_master b
 where a.loan_id = b.loan_id
   and a.cust_id = b.customer_id
   and to_char(a.due_amount) > 1000
   and a.ason_date between '06-jun-2026' and '06-jun-2026'
   and a.state_id = 19
   and a.status_id = 1
   and b.loan_status = 1
 group by a.center_id, a.center_name; --Center
 

select (select nvl(LISTAGG(r.Loan_Id || ' _ '), 0)
          from aml_lms.TBL_NPA_LRN_DTL r
         where r.cust_id = t.cust_id) as loanId,
       to_char(t.branch_id) branchId,
       to_char(t.branch_name) branchName,
       to_char(t.cust_id) npaCustId,
       to_char(t.cust_name) npaCustName,
       to_char(t.state_id) stateId,
       to_char(t.state_name) stateName,
       to_char(t.center_id) centerId,
       to_char(t.center_name) centerName,
       to_char(sum(t.loan_amount)) npaLoanAmount,
       to_char(min(t.loan_date), ' DD - MON - YYYY ') loanDate,
       to_char(t.due_amount) dueAmount,
       to_char(t.house_name || ',' || t.locality || ',' || t.street || ',' ||
               t.pin_code) address,
       to_char(t.ADDRESS) branchAddress,
       to_char(t.pin_code) pinCode,
       to_char(nvl(max(t.phone1), ' ')) phone1,
       to_char(nvl(max(t.phone2), ' ')) phone2,
       to_char(t.bm_name) bmName,
       to_char(nvl(t.bm_mob, ' ')) bmMob,
       to_char(t.am_name) amName,
       to_char(nvl(t.am_mob, ' ')) amMob,
       to_char(t.dm_name) dmName,
       to_char(nvl(t.dm_mob, ' ')) dmMob,
       to_char(t.ason_date, ' DD - MON - YYYY ') asonDate,
       to_char(t.due_date, ' DD - MON - YYYY ') dueDate,
       to_char(t.language_id) languageId,
       to_char(t.region_name) regionName,
       to_char(t.division_id) divisionId,
       to_char(t.division_name) divisionName,
       to_char(trunc(sysdate)) printDate,
       to_char(t.serial_number) serialNumber
  from aml_lms.TBL_NPA_LRN_DTL t, aml_lms.tbl_loan_master s
 where t.loan_id = s.loan_id
   and s.loan_status = 1
   and t.cust_id not in
       (select member_id
          from aml_lms.tbl_claim_request c
         where c.status_id in (0, 1, 2, 3, 4, 5, 6))
   and t.ason_date between '06-jun-2026' and '06-jun-2026'
   and t.state_id = 19
   and t.status_id = 1
 group by to_char(t.branch_id),
          to_char(t.branch_name),
          to_char(t.cust_id),
          t.cust_id,
          to_char(t.cust_name),
          to_char(t.state_id),
          to_char(t.state_name),
          to_char(t.center_id),
          to_char(t.center_name),
          t.house_name,
          t.locality,
          t.street,
          t.pin_code,
          to_char(t.ADDRESS),
          to_char(t.pin_code),
          to_char(t.bm_name),
          to_char(nvl(t.bm_mob, ' ')),
          to_char(t.am_name),
          to_char(t.due_amount),
          to_char(nvl(t.am_mob, ' ')),
          to_char(t.dm_name),
          to_char(nvl(t.dm_mob, ' ')),
          to_char(t.ason_date, ' DD - MON - YYYY '),
          to_char(t.due_date, ' DD - MON - YYYY '),
          to_char(t.language_id),
          to_char(t.region_name),
          to_char(t.division_id),
          to_char(t.division_name),
          to_char(trunc(sysdate)),
          to_char(t.serial_number)
having to_char(t.due_amount) > 1000
 order by to_char(t.serial_number);--Centers",1780729600424
"Team CRF Details","SELECT emp.emp_name AS DEVELOPER_NAME,
       TO_CHAR(NVL(dev.max_ended_date, hist.last_closed_dev_end),
               'DD-MM-YYYY') AS DEVELOPER_FREE_FROM,
       CASE
         WHEN t.crf_id IS NULL THEN
          'Currently No CRF In Hand For ' ||
          TRUNC(SYSDATE - NVL(dev.max_ended_date, hist.last_closed_dev_end)) ||
          ' Days'
         ELSE
          TO_CHAR(t.crf_id)
       END AS CRF_ID,
       CASE
         WHEN t.subject IS NULL THEN
          'Currently No CRF In Hand For ' ||
          TRUNC(SYSDATE - NVL(dev.max_ended_date, hist.last_closed_dev_end)) ||
          ' Days'
         ELSE
          t.subject
       END AS SUBJECT,
       
       e.emp_name AS USER_NAME,
       TO_CHAR(dev.dev_start_date, 'DD-MM-YYYY') AS DEVELOPMENT_START_DATE,
       TO_CHAR(dev.dev_end_date, 'DD-MM-YYYY') AS DEVELOPMENT_END_DATE,
       TO_CHAR(dev.started_date, 'DD-MM-YYYY') AS DEVELOPMENT_STARTED_DATE,
       TO_CHAR(dev.ended_date, 'DD-MM-YYYY') AS DEVELOPMENT_ENDED_DATE,
       test.TESTER_NAME AS TESTER_NAME,
       TO_CHAR(test.test_start_date, 'DD-MM-YYYY') AS TESTING_START_DATE,
       TO_CHAR(test.test_end_date, 'DD-MM-YYYY') AS TESTING_END_DATE,
       TO_CHAR(test.started_date, 'DD-MM-YYYY') AS TESTING_STARTED_DATE,
       TO_CHAR(test.ended_date, 'DD-MM-YYYY') AS TESTING_ENDED_DATE,
       TO_CHAR(test.max_test_end_date + 4, 'DD-MM-YYYY') AS TARGET_DATE,
       NVL(s.status_name, 'N/A') AS STATUS
  FROM Aml_internal.tbl_crft_team_mst te
 INNER JOIN aml_internal.tbl_crft_team_dtls map
    ON map.team_id = te.team_id
   AND map.status_id = 1
 INNER JOIN aml_hrm.employee_master emp
    ON emp.emp_code = map.emp_code
  LEFT JOIN (SELECT hdt.dev_assign_to,
                    MAX(hdt.dev_end_date) AS last_closed_dev_end
               FROM Aml_internal.tbl_crft_dev_ta_dtls hdt
              INNER JOIN Aml_internal.tbl_crft_mst hmx
                 ON hmx.crf_id = hdt.crf_id
                AND hmx.status_id = 20
              GROUP BY hdt.dev_assign_to) hist
    ON hist.dev_assign_to = emp.emp_code
  LEFT JOIN (SELECT dt.crf_id,
                    dt.dev_assign_to,
                    dt.dev_start_date,
                    dt.dev_end_date,
                    dt.started_date,
                    dt.ended_date,
                    MAX(dt.dev_end_date) OVER(PARTITION BY dt.crf_id) AS max_ended_date,
                    ROW_NUMBER() OVER(PARTITION BY dt.crf_id ORDER BY dt.dev_assign_to) AS rnum
               FROM Aml_internal.tbl_crft_dev_ta_dtls dt
              INNER JOIN Aml_internal.tbl_crft_mst mx
                 ON mx.crf_id = dt.crf_id
                AND mx.status_id NOT IN (20, 38, 39, 49, 7)) dev
    ON dev.dev_assign_to = emp.emp_code
  LEFT JOIN Aml_internal.tbl_crft_mst t
    ON t.crf_id = dev.crf_id
  LEFT JOIN aml_hrm.employee_master e
    ON e.emp_code = t.user_id
  LEFT JOIN aml_hrm.department_mst d
    ON d.dep_id = t.dep_id
  LEFT JOIN aml_hrm.department_major dm
    ON dm.department_id = d.major_dep_id
  LEFT JOIN aml_hrm.employee_master eeee
    ON eeee.emp_code = dm.head_id
  LEFT JOIN aml_hrm.employee_master eeeee
    ON eeeee.emp_code = t.itc
  LEFT JOIN aml_hrm.employee_master eeeeee
    ON eeeeee.emp_code = t.committee
  LEFT JOIN Aml_internal.tbl_crft_status_mst s
    ON s.status_id = t.status_id
  LEFT JOIN Aml_internal.tbl_crft_updation_dtl u
    ON u.crf_id = t.crf_id
  LEFT JOIN aml_hrm.employee_master ee
    ON ee.emp_code = t.tech_lead
  LEFT JOIN (SELECT tt.crf_id,
                    eee.emp_name AS TESTER_NAME,
                    tt.test_start_date,
                    tt.test_end_date,
                    tt.started_date,
                    tt.ended_date,
                    MAX(tt.test_end_date) OVER(PARTITION BY tt.crf_id) AS max_test_end_date,
                    ROW_NUMBER() OVER(PARTITION BY tt.crf_id ORDER BY tt.tester_assign_to) AS rnum
               FROM Aml_internal.tbl_crft_testing_ta_dtls tt
               LEFT JOIN aml_hrm.employee_master eee
                 ON eee.emp_code = tt.tester_assign_to
              INNER JOIN Aml_internal.tbl_crft_mst mx
                 ON mx.crf_id = tt.crf_id
                AND mx.status_id NOT IN (20, 38, 39, 49, 7)) test
    ON test.crf_id = t.crf_id
   AND test.rnum = NVL(dev.rnum, 1)
 WHERE te.team_name = 'MFI - OPERATION'
 ORDER BY t.crf_id DESC;",1780634901478
"Store Module Docs","Procedures
----------

PROC_STM_LOGIN
PROC_STM_MENU
PROC_STM_QUERIES

Sequences
---------

SEQ_STM_ERROR_ID
SEQ_STM_INDENT_ID
SEQ_STM_ELEMENT_ID
SEQ_STM_PRODUCT_ID
SEQ_STM_ROLE_ID
SEQ_STM_AUTO_COUNT_ID
SEQ_STM_TEMP_INDENT_ID


Tables
------
select t.*, t.rowid from AML_INTERNAL.TBL_STM_MENU_MST t;
select t.*, t.rowid from AML_INTERNAL.TBL_STM_SUB_MENU_MST t;
select t.*, t.rowid from AML_INTERNAL.TBL_STM_ROLE_DTL t;
select t.*, t.rowid from AML_INTERNAL.TBL_STM_ERROR_DTL t;
select t.*, t.rowid from AML_INTERNAL.TBL_STM_STATUS_MST t;
select t.*, t.rowid from AML_INTERNAL.TBL_STM_PRODUCT_MST t;

select t.*, t.rowid from AML_INTERNAL.TBL_STM_REQUEST_MST t;
select t.*, t.rowid from AML_INTERNAL.TBL_STM_REQUEST_DTLS t;
select t.*, t.rowid from AML_INTERNAL.TBL_STM_ADMIN_LOG t;",1780124630552
"CRFT Module Docs","PROC_CRFT_LOGIN
PROC_CRFT_QUERIES
PROC_CRFT_FILEUPLOAD
PROC_CRFT_MENU
PROC_CRFT_DELAY_CALCULATION

SEQ_CRF_FILE_ID
SEQ_CRF_ID_DUMMY
SEQ_CRF_ID
SEQ_CRF_DEV_TA
SEQ_CRF_TEST_TA
SEQ_CRF_ROLE_DT_ID
SEQ_CRF_DWU_ID

select t.*, t.rowid from AML_INTERNAL.TBL_CRFT_ERROR_DTL t;
select t.*, t.rowid from AML_INTERNAL.TBL_CRFT_MENU_MST t;
select t.*, t.rowid from AML_INTERNAL.TBL_CRFT_SUB_MENU_MST t;
select t.*, t.rowid from AML_INTERNAL.TBL_CRFT_ROLE_DTL t;

select t.*, t.rowid from AML_INTERNAL.TBL_CRFT_TEAM_MST t;
select t.*, t.rowid from AML_INTERNAL.TBL_CRFT_TEAM_DTLS t;
select t.*, t.rowid from AML_INTERNAL.TBL_CRFT_MODULE_MST t;
select t.*, t.rowid from AML_INTERNAL.TBL_CRFT_MAIL_MST t;
select t.*, t.rowid from AML_INTERNAL.TBL_CRFT_MAIN_DROP_DOWNS t;
select t.*, t.rowid from AML_INTERNAL.TBL_CRFT_SUB_DROP_DOWNS t;
select t.*, t.rowid from AML_INTERNAL.TBL_CRFT_STATUS_MST t;

select t.*, t.rowid from AML_INTERNAL.TBL_CRFT_MST t;
select t.*, t.rowid from AML_INTERNAL.TBL_CRFT_UPDATION_DTL t;
select t.*, t.rowid from AML_INTERNAL.TBL_CRFT_FILES t;
select t.*, t.rowid from AML_INTERNAL.TBL_CRFT_DEV_TA_DTLS t;
select t.*, t.rowid from AML_INTERNAL.TBL_CRFT_TESTING_TA_DTLS t;
select t.*, t.rowid from AML_INTERNAL.TBL_CRFT_WORK_LOG t;
select t.*, t.rowid from AML_INTERNAL.TBL_CRFT_LOG_TRACK t;
select t.*, t.rowid from AML_INTERNAL.TBL_CRFT_MST_BACKUP t;
select t.*, t.rowid from AML_INTERNAL.TBL_CRFT_DWU_DTL t;
select t.*, t.rowid from AML_INTERNAL.TBL_CRFT_TASK_DTLS t;
select t.*, t.rowid from AML_INTERNAL.TBL_CRFT_TEST_CASE_DTLS t;

select t.* , t.rowid from aml_hrm.hrm_earlygoing_appl t where t.emp_code=328940;--For checking make status=1
select t.* , t.rowid from tbl_asr_movement_mst t where t.emp_code=328940;--For checking make status=5",1780124525825
"MPRM Module Docs","PROC_CRFT_LOGIN
PROC_MPRM_QUERIES
PROC_MPRM_FILEUPLOAD
PROC_MPRM_MENU

SEQ_MPRM_ERROR_ID
SEQ_MPRM_TEMP_VENDOR_ID
SEQ_MPRM_FILE_ID


select t.*, t.rowid from TBL_MPRM_ERROR_DTL t

select t.*, t.rowid from TBL_MPRM_MENU_MST t;
select t.*, t.rowid from TBL_MPRM_SUB_MENU_MST t;
select t.*, t.rowid from TBL_MPRM_ROLE_DTL t;
select t.*, t.rowid from TBL_MPRM_TDS_CATEGORY_MST t;
select t.*, t.rowid from TBL_MPRM_GST_MASTER t ;

select t.*, t.rowid from TBL_MPRM_TEMP_VENDOR_MST t;
select t.*, t.rowid from TBL_MPRM_VENDOR_MST t;
select t.*, t.rowid from TBL_MPRM_FILES t;
select t.*, t.rowid from TBL_MPRM_BILL_FILES t;
select t.*, t.rowid from TBL_MPRM_ENTRY_MST t;
select t.*, t.rowid from TBL_MPRM_ENTRY_DTL t;
select t.*, t.rowid from TBL_MPRM_CREDIT_NOTE_DTLS t
select t.*, t.rowid from TBL_MPRM_CREDIT_NOTE_FILES t

select t.*, t.rowid from TBL_MPRM_APPROVED_ENTRY_DTL t;


Preproduction link : 

https://amfluat.asirvad.com/MPRM_Module/Login.aspx

Login Credentials : 

vendor Request - 328940, vendor Recommender - 369383,vendor  Approver - 337983

Entry  Request - 337983,Entry Recommender - 369383, EntryApprover - 328940",1780124403693
"TA Module Docs","PROC_TA_MENU
PROC_TA_LOGIN
PROC_TA_FILEUPLOAD
PROC_TA_QUERIES

---

SEQ_TA_ERROR_ID
SEQ_TA_FILE_ID
SEQ_TA_ID_DUMMY
SEQ_TA_RQ_ID
SEQ_TA_SPECIAL_TARID

---

select t.*, t.rowid from AML_INTERNAL.TBL_TA_MENU_MST t;
select t.*, t.rowid from AML_INTERNAL.TBL_TA_SUB_MENU_MST t;
select t.*, t.rowid from AML_INTERNAL.TBL_TA_ROLE_DTL t;
select t.*, t.rowid from AML_INTERNAL.TBL_TA_ERROR_DTL t;
select t.*, t.rowid from AML_INTERNAL.TBL_TA_TRAVELMODE_MST t;
select t.*, t.rowid from AML_INTERNAL.TBL_TA_STATUS_MST t;

select t.*, t.rowid from AML_INTERNAL.TBL_TA_REQUEST_MST t;
select t.*, t.rowid from AML_INTERNAL.TBL_TA_REQUEST_DTL t ;
select t.*, t.rowid from AML_INTERNAL.TBL_TA_REQUEST_DTL_HIS t ;
select t.*, t.rowid from AML_INTERNAL.TBL_TA_FILES t;
select t.*, t.rowid from AML_INTERNAL.TBL_TA_TRACK t;
select t.*, t.rowid from AML_INTERNAL.TBL_TA_SPECIALCASE_MST t;
select t.*, t.rowid from AML_INTERNAL.TBL_SPECIAL_TA_FILES t;",1780124349675
"Late In Check","SELECT t.emp_code,
       e.emp_name,
       t.curr_date,
       t.m_time,
       t.e_time,
       TO_CHAR(TRUNC(sysdate) +
               (NUMTODSINTERVAL(SUBSTR(t.m_time, 1, 2) - 8, 'HOUR') +
                NUMTODSINTERVAL(SUBSTR(t.m_time, 4, 2) - 30, 'MINUTE') +
                NUMTODSINTERVAL(SUBSTR(t.m_time, 7, 2), 'SECOND')),
               'MI:SS') AS late_time_per_row,
       TO_CHAR(TRUNC(sysdate) +
               NUMTODSINTERVAL(SUM(((SUBSTR(t.m_time, 1, 2) - 8) * 3600) +
                                   ((SUBSTR(t.m_time, 4, 2) - 30) * 60) +
                                   SUBSTR(t.m_time, 7, 2))
                               OVER(PARTITION BY TRUNC(t.curr_date, 'MM')
                                    ORDER BY t.curr_date,
                                    t.m_time),
                               'SECOND'),
               'MI:SS') AS cumulative_late_sum
  FROM AML_USERS.TBL_ATTEND t, aml_hrm.employee_master e
 WHERE e.emp_code = t.emp_code
   AND t.emp_code = 328940
   AND t.curr_date IS NOT NULL
   AND t.m_time > '08:29:59'
 ORDER BY t.curr_date desc, t.m_time;",1780120227145
